Av_Amp_min,Av_Amp_max,Av_Amp_pro,Ds_Pre_min,Ds_Pre_max,Ds_Pre_pro,Dr_Fre_min,Dr_Fre_max,Dr_Fre_pro,Int_Pre_min,Int_Pre_max,Int_Pre_pro,Int_Tmp_min,Int_Tmp_max,Int_Tmp_pro,Mo_Tmp_min,Mo_Tmp_max,Mo_Tmp_pro,Vib_min,Vib_max,Vib_pro,Pas_Cur_min,Pas_Cur_max,Pas_Cur_pro,Act_Cur_min,Act_Cur_max,Act_Cur_pro,Mot_Ld_min,Mot_Ld_max,Mot_Ld_pro,Zer_Cur_min,Zer_Cur_max,Zer_Cur_pro,Inp_Volt_min,Inp_Volt_max,Inp_Volt_pro,Out_vol_min,Out_vol_max,Out_vol_pro,VSD_min,VSD_max,VSD_pro,Time_Inic,Pozo,tipo_causa
27.0,28.0,27.041666666666668,,,,50.9,51.1,50.99861111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-10 00:00:00+00:00,Well-12,NIN
27.0,27.0,27.0,,,,51.0,51.1,51.00138888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-11 00:00:00+00:00,Well-12,NIN
27.0,28.0,27.014084507042252,,,,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-12 00:00:00+00:00,Well-12,NIN
27.0,28.0,27.01388888888889,,,,50.9,51.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-13 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.985915492957748,,,,50.9,51.0,50.99718309859155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-14 00:00:00+00:00,Well-12,NIN
26.0,28.0,27.007142857142856,,,,51.0,51.1,51.00142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-15 00:00:00+00:00,Well-12,NIN
27.0,27.0,27.0,,,,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-16 00:00:00+00:00,Well-12,NIN
27.0,28.0,27.014492753623188,,,,50.9,51.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-17 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.90277777777778,,,,50.9,51.0,50.99861111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-18 00:00:00+00:00,Well-12,NIN
26.0,28.0,26.914285714285715,,,,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-19 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.958333333333332,,,,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-20 00:00:00+00:00,Well-12,NIN
26.0,28.0,26.929577464788732,,,,50.9,51.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-21 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.92753623188406,,,,50.9,51.0,50.99710144927536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-22 00:00:00+00:00,Well-12,NIN
26.0,28.0,26.97142857142857,,,,50.9,51.0,50.99857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-23 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.944444444444443,,,,50.9,51.1,50.9986111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-24 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.95774647887324,,,,50.9,51.0,50.998591549295774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-25 00:00:00+00:00,Well-12,NIN
26.0,28.0,27.0,,,,51.0,51.1,51.00144927536232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-26 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.985915492957748,,,,50.9,51.0,50.998591549295774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-27 00:00:00+00:00,Well-12,NIN
26.0,27.0,26.935714285714287,,,,50.9,51.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-28 00:00:00+00:00,Well-12,NIN
